max_depth,max_features,min_samples_split,min_samples_leaf,fit_time_sec,experiment_id
1597,5,3,2,0.12795448303222656,f1e74791-3ed9-4241-b376-58d6d2912f97
610,34,3,8,0.24306058883666992,fb5ae24a-3a2b-4f85-b8a3-b6705dd02d8e
987,34,5,5,0.11306619644165039,f1e50265-6aa6-4da1-8229-2c4f0693911d
377,89,13,3,0.12905550003051758,b46b8604-5ad3-44c9-b608-75f97258da2f
1597,144,3,3,0.15672039985656738,19eedcdb-11d8-435a-aa89-b77539339fd7
1597,34,3,3,0.22754287719726562,8ddd97be-ded6-439a-99af-bba06baf6ecb
1597,13,3,5,0.24993562698364258,727a0cbb-291c-4904-8728-2645e8b2a5b5
1597,21,3,3,0.23202896118164062,5393d1b5-a43a-49ff-a76a-d3ecacd6cb98
377,233,5,5,0.15088438987731934,2dfb704e-d39e-40fa-b855-b2f7a75d43f0
233,2584,13,2,0.196258544921875,b2856054-66a2-4a6d-a89b-825b2c231c2f
987,2584,3,3,0.1678774356842041,75866d53-04d3-4983-ac9a-cce8f0346fb7
1597,1597,13,3,0.11593985557556152,4f42127b-de80-41e8-8f68-4ab325a0827f
